                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     46,                0.72426,                0.65075,                 1.0621,                0.92696,                0.81641,                0.87704,                0.67345,                 1.0822,                0.84278,                 1.3359,             0.00018795,             0.00018795,             0.00018795
                     47,                0.77247,                0.67774,                 1.1006,                0.90085,                0.83243,                0.89068,                0.68593,                 1.0547,                0.80701,                 1.3179,             0.00018465,             0.00018465,             0.00018465
                     48,                0.73525,                0.68191,                 1.0777,                0.89526,                0.82408,                0.87717,                 0.6867,                 1.0517,                0.81644,                 1.3016,             0.00018135,             0.00018135,             0.00018135
                     49,                0.72722,                0.63351,                 1.0643,                0.91369,                0.82834,                0.89434,                0.69631,                 1.0542,                0.80913,                 1.3146,             0.00017806,             0.00017806,             0.00017806
                     50,                 0.7085,                0.63831,                 1.0564,                0.90468,                0.83615,                0.88036,                0.68428,                 1.0598,                0.80802,                 1.3179,             0.00017476,             0.00017476,             0.00017476
                     51,                 0.7136,                0.61447,                 1.0668,                0.91177,                0.82322,                0.87801,                0.65867,                 1.0767,                0.79811,                 1.3366,             0.00017146,             0.00017146,             0.00017146
                     52,                0.68858,                0.59517,                 1.0589,                 0.8763,                0.84134,                0.88049,                0.68634,                 1.0525,                 0.7849,                  1.318,             0.00016817,             0.00016817,             0.00016817
                     53,                0.71219,                0.61963,                 1.0633,                0.91335,                0.84126,                0.87791,                  0.684,                 1.0538,                0.80768,                 1.2997,             0.00016487,             0.00016487,             0.00016487
                     54,                0.70017,                0.62581,                 1.0594,                0.92085,                0.81702,                0.89198,                0.70266,                 1.0442,                0.78469,                 1.3019,             0.00016157,             0.00016157,             0.00016157
                     55,                0.69794,                0.59758,                 1.0524,                0.92323,                0.81732,                0.87517,                0.68995,                 1.0287,                0.78186,                 1.2963,             0.00015827,             0.00015827,             0.00015827
                     56,                0.70441,                0.60373,                 1.0537,                 0.9366,                0.82484,                0.87395,                0.68344,                 1.0379,                0.77361,                  1.296,             0.00015498,             0.00015498,             0.00015498
                     57,                0.69126,                0.59117,                 1.0478,                0.89989,                0.84479,                0.88314,                0.69091,                 1.0465,                 0.7962,                 1.2984,             0.00015168,             0.00015168,             0.00015168
